arm,hours,cum_quests,block_timestamp
006-sonnet5-control-r1,0,0,2026-08-17T20:20:06.624264+00:00
006-sonnet5-control-r1,0.1837,1,2026-08-17T20:31:08
006-sonnet5-control-r1,0.1995,2,2026-08-17T20:32:05
006-sonnet5-control-r1,0.2104,3,2026-08-17T20:32:44
006-sonnet5-control-r1,1.8418,4,2026-08-17T22:10:37
006-sonnet5-control-r1,7.6015,5,2026-08-18T03:56:12
006-sonnet5-control-r1,12.6848,6,2026-08-18T09:01:12
006-sonnet5-control-r1,14.7615,7,2026-08-18T11:05:48
006-sonnet5-control-r1,14.7773,8,2026-08-18T11:06:45
006-sonnet5-control-r1,51.6334,9,2026-08-19T23:58:07
006-sonnet5-control-r1,65.1029,10,2026-08-20T13:26:17
006-sonnet5-control-r1,83.0132,11,2026-08-21T07:20:54
006-sonnet5-control-r1,101.9284,12,2026-08-22T02:15:49
006-sonnet5-control-r1,101.939,13,2026-08-22T02:16:27
006-sonnet5-control-r1,101.9609,14,2026-08-22T02:17:46
006-sonnet5-control-r1,101.9712,15,2026-08-22T02:18:23
006-sonnet5-control-r1,121.2645,16,2026-08-22T21:35:59
006-sonnet5-control-r1,142.0976,17,2026-08-23T18:25:58
006-sonnet5-control-r1,163.7784,18,2026-08-24T16:06:49
006-sonnet5-control-r1,163.7865,19,2026-08-24T16:07:18
006-sonnet5-control-r1,189.69,19,2026-08-25T18:01:42.560399+00:00
006-sonnet5-pushed-r1,0,0,2026-08-17T20:20:07.295299+00:00
006-sonnet5-pushed-r1,0.271,1,2026-08-17T20:36:23
006-sonnet5-pushed-r1,0.3166,2,2026-08-17T20:39:07
006-sonnet5-pushed-r1,0.3288,3,2026-08-17T20:39:51
006-sonnet5-pushed-r1,1.0916,4,2026-08-17T21:25:37
006-sonnet5-pushed-r1,11.2627,5,2026-08-18T07:35:53
006-sonnet5-pushed-r1,32.2555,6,2026-08-19T04:35:27
006-sonnet5-pushed-r1,32.2685,7,2026-08-19T04:36:14
006-sonnet5-pushed-r1,65.4477,8,2026-08-20T13:46:59
006-sonnet5-pushed-r1,65.5446,9,2026-08-20T13:52:48
006-sonnet5-pushed-r1,79.9371,10,2026-08-21T04:16:21
006-sonnet5-pushed-r1,93.3496,11,2026-08-21T17:41:06
006-sonnet5-pushed-r1,93.363,12,2026-08-21T17:41:54
006-sonnet5-pushed-r1,100.686,13,2026-08-22T01:01:17
006-sonnet5-pushed-r1,100.6916,14,2026-08-22T01:01:37
006-sonnet5-pushed-r1,133.9533,15,2026-08-23T10:17:19
006-sonnet5-pushed-r1,143.9069,16,2026-08-23T20:14:32
006-sonnet5-pushed-r1,160.0044,17,2026-08-24T12:20:23
006-sonnet5-pushed-r1,172.7002,18,2026-08-25T01:02:08
006-sonnet5-pushed-r1,184.8655,19,2026-08-25T13:12:03
006-sonnet5-pushed-r1,184.8938,20,2026-08-25T13:13:45
006-sonnet5-pushed-r1,184.9055,21,2026-08-25T13:14:27
006-sonnet5-pushed-r1,184.988,22,2026-08-25T13:19:24
006-sonnet5-pushed-r1,186.49,22,2026-08-25T14:49:25.334522+00:00
006-gpt52-control-r1,0,0,2026-08-17T20:55:07.186679+00:00
006-gpt52-control-r1,0.3574,1,2026-08-17T21:16:34
006-gpt52-control-r1,0.4616,2,2026-08-17T21:22:49
006-gpt52-control-r1,1.5188,3,2026-08-17T22:26:15
006-gpt52-control-r1,3.2622,4,2026-08-18T00:10:51
006-gpt52-control-r1,9.5388,5,2026-08-18T06:27:27
006-gpt52-control-r1,9.7774,6,2026-08-18T06:41:46
006-gpt52-control-r1,10.5127,7,2026-08-18T07:25:53
006-gpt52-control-r1,10.5252,8,2026-08-18T07:26:38
006-gpt52-control-r1,104.4355,9,2026-08-22T05:21:15
006-gpt52-control-r1,117.4869,10,2026-08-22T18:24:20
006-gpt52-control-r1,128.0216,11,2026-08-23T04:56:25
006-gpt52-control-r1,147.02,11,2026-08-23T23:56:22.281810+00:00
006-gpt52-pushed-r1,0,0,2026-08-17T20:55:08.066715+00:00
006-gpt52-pushed-r1,0.3475,1,2026-08-17T21:15:59
006-gpt52-pushed-r1,0.3825,2,2026-08-17T21:18:05
006-gpt52-pushed-r1,0.4203,3,2026-08-17T21:20:21
006-gpt52-pushed-r1,1.688,4,2026-08-17T22:36:25
006-gpt52-pushed-r1,7.3716,5,2026-08-18T04:17:26
006-gpt52-pushed-r1,25.7608,6,2026-08-18T22:40:47
006-gpt52-pushed-r1,25.8133,7,2026-08-18T22:43:56
006-gpt52-pushed-r1,41.5991,8,2026-08-19T14:31:05
006-gpt52-pushed-r1,48.955,9,2026-08-19T21:52:26
006-gpt52-pushed-r1,50.5314,10,2026-08-19T23:27:01
006-gpt52-pushed-r1,50.6969,11,2026-08-19T23:36:57
006-gpt52-pushed-r1,64.8678,12,2026-08-20T13:47:12
006-gpt52-pushed-r1,97.9436,13,2026-08-21T22:51:45
006-gpt52-pushed-r1,106.5247,14,2026-08-22T07:26:37
006-gpt52-pushed-r1,106.5394,15,2026-08-22T07:27:30
006-gpt52-pushed-r1,106.5486,16,2026-08-22T07:28:03
006-gpt52-pushed-r1,121.8316,17,2026-08-22T22:45:02
006-gpt52-pushed-r1,130.3225,18,2026-08-23T07:14:29
006-gpt52-pushed-r1,135.5194,19,2026-08-23T12:26:18
006-gpt52-pushed-r1,146.19,19,2026-08-23T23:06:27.079020+00:00
